Link,DPRTMNT,RATE,DIFF,The recent rating,NUM
https://www.ratemyprofessors.com/professor/166477,Biology,2,4,"Aug 23rd, 2024",44
https://www.ratemyprofessors.com/professor/162145,Art History,4.1,3.6,"May 15th, 2021",34
https://www.ratemyprofessors.com/professor/162109,Religion,2.5,2.9,"Jan 6th, 2021",27
https://www.ratemyprofessors.com/professor/124054,International Studies,2.9,4.4,"May 29th, 2018",26
https://www.ratemyprofessors.com/professor/1061103,Chemistry,2.7,3.3,"Dec 31st, 2022",26
https://www.ratemyprofessors.com/professor/162586,Philosophy,2.7,4,"Sep 7th, 2021",26
https://www.ratemyprofessors.com/professor/1246356,Psychology,4.7,2.5,"Apr 18th, 2024",24
https://www.ratemyprofessors.com/professor/79527,Anthropology,3.8,2.6,"Feb 1st, 2024",22
https://www.ratemyprofessors.com/professor/2914069,Religion,3.7,2.3,,3
https://www.ratemyprofessors.com/professor/161860,Women's Studies,2.7,3.3,"Jan 24th, 2023",21
https://www.ratemyprofessors.com/professor/162142,Biology,4.1,3.7,"Jan 15th, 2017",19
https://www.ratemyprofessors.com/professor/2450208,Religion,4.8,3.3,,6
https://www.ratemyprofessors.com/professor/201307,Art History,2.4,3.8,"Jan 4th, 2014",17
https://www.ratemyprofessors.com/professor/189556,English,3.4,3.4,"Oct 31st, 2023",17
https://www.ratemyprofessors.com/professor/189556,Biology,2.7,4.1,"Oct 22nd, 2023",17
https://www.ratemyprofessors.com/professor/698983,English,4.6,3.1,"Jun 11th, 2021",14
https://www.ratemyprofessors.com/professor/1894371,Chemistry ,4.5,3.4,"Dec 24th, 2023",13
https://www.ratemyprofessors.com/professor/1936760,Mathematics,3.5,4,"Sep 14th, 2017",11
https://www.ratemyprofessors.com/professor/1368152,Engineering,3.2,3.2,"Dec 17th, 2019",11
https://www.ratemyprofessors.com/professor/340265,Art History,3.5,2.5,"Dec 12th, 2023",11
https://www.ratemyprofessors.com/professor/1124120,Bilogy,4.9,2.9,"Sep 7th, 2021",10
https://www.ratemyprofessors.com/professor/1936320,American Studies,4.8,2.2,"Oct 31st, 2024",11
https://www.ratemyprofessors.com/professor/1203099,Modern Languages,4.8,1.6,"May 30th, 2023",9
https://www.ratemyprofessors.com/professor/2556987,Economics,5,3.2,"Oct 29th, 2024",10
https://www.ratemyprofessors.com/professor/2370528,Psychology,2.9,3.8,"Nov 24th, 2024",8
https://www.ratemyprofessors.com/professor/1933850,English,4.6,2.9,"May 30th, 2024",7
https://www.ratemyprofessors.com/professor/2232694,Mathematics,4.2,3,,6
https://www.ratemyprofessors.com/professor/789710,Art History,2.6,4.4,,5
https://www.ratemyprofessors.com/professor/2192739,American Studies,3.4,3,,5
https://www.ratemyprofessors.com/professor/1411804,American Studies,3,4.1,,12
https://www.ratemyprofessors.com/professor/2495813,Mathematics,3,4.5,,6
https://www.ratemyprofessors.com/professor/2466278,Engineering,3.8,2.3,,4
https://www.ratemyprofessors.com/professor/2565675,Modern Languages,3.5,3.3,,4
https://www.ratemyprofessors.com/professor/2596243,Chemistry,4.8,3,,4
https://www.ratemyprofessors.com/professor/2249818,Modern Languages,4.5,2.5,,4
https://www.ratemyprofessors.com/professor/2370485,Biology,5,3.3,,3
https://www.ratemyprofessors.com/professor/2081643,Modern Languages,5,1,,3
https://www.ratemyprofessors.com/professor/2913176,English,4.8,2,,2
https://www.ratemyprofessors.com/professor/2980409,Modern Languages,4.5,3,,2
https://www.ratemyprofessors.com/professor/2913176,Education,3,2,,2
https://www.ratemyprofessors.com/professor/1365727,Environmental Science,4,2,,1
https://www.ratemyprofessors.com/professor/2991401,Modern Languages,5,4,,2
https://www.ratemyprofessors.com/professor/2943021,Mathematics,3.7,3.3,,3
https://www.ratemyprofessors.com/professor/2970908,Mathematics,1,5,,1
https://www.ratemyprofessors.com/professor/96754,Languages ,3.9,2.5,"Apr 6th, 2023",42
https://www.ratemyprofessors.com/professor/162136,History,3.5,2.8,"Oct 19th, 2023",35
https://www.ratemyprofessors.com/professor/277146,Chemistry,4.6,3.2,,28
https://www.ratemyprofessors.com/professor/266612,Chemistry,4.5,3.5,,24
https://www.ratemyprofessors.com/professor/1964061,Philosophy,3.2,2.8,"Feb 5th, 2024",20
https://www.ratemyprofessors.com/professor/1944536,Biology,4.5,3.1,"Oct 31st, 2024",19
https://www.ratemyprofessors.com/professor/162140,Biology,4.7,3.1,,14
https://www.ratemyprofessors.com/professor/1449218,Anthropology,4.7,2.4,,13
https://www.ratemyprofessors.com/professor/977799,Languages,3.9,2.9,,11
https://www.ratemyprofessors.com/professor/201295,Languages,3.8,2.9,,11
https://www.ratemyprofessors.com/professor/2556614,Economics,1.1,4.9,,10
https://www.ratemyprofessors.com/professor/1864899,English,4.6,3.4,,10
https://www.ratemyprofessors.com/professor/1258571,Chemistry,3.5,3.3,,7
https://www.ratemyprofessors.com/professor/2327703,English,3,3.7,"Jul 11th, 2023",7
https://www.ratemyprofessors.com/professor/495779,English,2.7,3.7,,6
https://www.ratemyprofessors.com/professor/1665452,Studio Arts,4.5,2.2,,6
https://www.ratemyprofessors.com/professor/2699884,Theatre & Dance,1.7,3.8,,9
https://www.ratemyprofessors.com/professor/2503440,Mathematics,1.8,4.3,,6
https://www.ratemyprofessors.com/professor/2095823,English,4.5,2.8,,5
https://www.ratemyprofessors.com/professor/1651261,English,5,3.2,,5
https://www.ratemyprofessors.com/professor/2403589,Mathematics,3.3,4,,4
https://www.ratemyprofessors.com/professor/2093281,Religion,4.1,3.8,,8
https://www.ratemyprofessors.com/professor/1353711,Languages,4.8,1.8,,4
https://www.ratemyprofessors.com/professor/951514,Art History,4.2,4.3,,3
https://www.ratemyprofessors.com/professor/2355837,Biology,5,3.7,,3
https://www.ratemyprofessors.com/professor/2804604,Education,5,2.7,,3
https://www.ratemyprofessors.com/professor/2871939,Mathematics,3.8,2.8,,4
https://www.ratemyprofessors.com/professor/1939291,Eeligion,4.6,3.1,,12
https://www.ratemyprofessors.com/professor/2620102,Biology,5,2.5,"Sep 13th, 2022",2
https://www.ratemyprofessors.com/professor/2980410,Environmental Science,4.5,1.5,,2
https://www.ratemyprofessors.com/professor/1891217,Anthropology,4.6,2.3,,8
https://www.ratemyprofessors.com/professor/1534176,Anthropology,4.1,2,,14
https://www.ratemyprofessors.com/professor/2837610,English,2,1,,1
https://www.ratemyprofessors.com/professor/2838921,Computer Science,5,2,,1
https://www.ratemyprofessors.com/professor/2980418,Psychology,5,3,,1
https://www.ratemyprofessors.com/professor/188655,English,3.6,4.1,,32
https://www.ratemyprofessors.com/professor/2930923,English,2.8,2.8,,4
https://www.ratemyprofessors.com/professor/163472,English,4.8,2.4,,30
https://www.ratemyprofessors.com/professor/1618113,English,4.9,2.9,,14
https://www.ratemyprofessors.com/professor/1035845,English,4.7,3.3,,13
https://www.ratemyprofessors.com/professor/2943013,English,5,2.5,,2
https://www.ratemyprofessors.com/professor/2835724,English,5,3,"Oct 27th, 2022",1
https://www.ratemyprofessors.com/professor/162119,English,3.7,3.8,,34
https://www.ratemyprofessors.com/professor/79521,English,4.7,3,,25
https://www.ratemyprofessors.com/professor/2798861,English,5,2,,1
https://www.ratemyprofessors.com/professor/2647796,Anthropology,4,2.6,,5
https://www.ratemyprofessors.com/professor/2697784,American Studies,5,4,,2
https://www.ratemyprofessors.com/professor/2788024,American Studies,0,0,,0
https://www.ratemyprofessors.com/professor/1809397,American Studies,4.7,2.3,,3
https://www.ratemyprofessors.com/professor/907649,American Studies,4.4,3.2,,15
https://www.ratemyprofessors.com/professor/2770349,American Studies,0,0,,0
https://www.ratemyprofessors.com/professor/1124120,Biology,4.9,2.9,,10
https://www.ratemyprofessors.com/professor/3026888,Biology,0,0,,0
https://www.ratemyprofessors.com/professor/2370485,Biology,5,3.3,,3
https://www.ratemyprofessors.com/professor/3034001,Biology,0,0,,0
https://www.ratemyprofessors.com/professor/162143,Biology,2.5,4.4,,39
https://www.ratemyprofessors.com/professor/2798440,Biology,1,5,,8
https://www.ratemyprofessors.com/professor/2871827,Women's Studies,0,0,,0
https://www.ratemyprofessors.com/professor/2761180,Women's Studies,0,0,,0
https://www.ratemyprofessors.com/professor/2974515,Theatre & Dance,5,2.7,,3
https://www.ratemyprofessors.com/professor/1198200,Theatre & Dance,4.7,1.3,,10
